code,short_description,long_description,is_billable,organ_system,criteria_type
C92.12,"1 Chronic myeloid leukemia, BCR/ABL-positive, in relapse","Chronic myeloid leukemia, BCR/ABL-positive, in relapse",False,general,contraindication
C92.2,"0 Atypical chronic myeloid leukemia, BCR/ABL-negative","Atypical chronic myeloid leukemia, BCR/ABL-negative",False,general,contraindication
C92.20,"1 Atyp chronic myeloid leuk, BCR/ABL-neg, not achieve remis","Atypical chronic myeloid leukemia, BCR/ABL-negative, not having achieved remission",False,general,contraindication
C92.21,"1 Atypical chronic myeloid leukemia, BCR/ABL-neg, in remissi","on Atypical chronic myeloid leukemia, BCR/ABL-negative, in remission",False,general,contraindication
C92.22,"1 Atypical chronic myeloid leukemia, BCR/ABL-neg, in relapse","Atypical chronic myeloid leukemia, BCR/ABL-negative, in relapse",False,general,contraindication
C92.3,0 Myeloid sarcoma,Myeloid sarcoma,False,general,contraindication
C92.30,"1 Myeloid sarcoma, not having achieved remission","Myeloid sarcoma, not having achieved remission",False,general,contraindication
C92.31,"1 Myeloid sarcoma, in remission","Myeloid sarcoma, in remission",False,general,contraindication
C92.32,"1 Myeloid sarcoma, in relapse","Myeloid sarcoma, in relapse",False,general,contraindication
C92.4,0 Acute promyelocytic leukemia,Acute promyelocytic leukemia,False,general,contraindication
C92.40,"1 Acute promyelocytic leukemia, not having achieved remissio","n  Acute promyelocytic leukemia, not having achieved remission",False,general,contraindication
C92.41,"1 Acute promyelocytic leukemia, in remission","Acute promyelocytic leukemia, in remission",False,general,contraindication
C92.42,"1 Acute promyelocytic leukemia, in relapse","Acute promyelocytic leukemia, in relapse",False,general,contraindication
C92.5,0 Acute myelomonocytic leukemia,Acute myelomonocytic leukemia,False,general,contraindication
C92.50,"1 Acute myelomonocytic leukemia, not having achieved remissi","on Acute myelomonocytic leukemia, not having achieved remission",False,general,contraindication
C92.51,"1 Acute myelomonocytic leukemia, in remission","Acute myelomonocytic leukemia, in remission",False,general,contraindication
C92.52,"1 Acute myelomonocytic leukemia, in relapse","Acute myelomonocytic leukemia, in relapse",False,general,contraindication
C92.6,0 Acute myeloid leukemia with 11q23-abnormality,Acute myeloid leukemia with 11q23-abnormality,False,general,contraindication
C92.60,1 Acute myeloid leukemia w 11q23-abnormality not achieve rem,is Acute myeloid leukemia with 11q23-abnormality not having achieved remission,False,general,contraindication
C92.61,1 Acute myeloid leukemia with 11q23-abnormality in remission,Acute myeloid leukemia with 11q23-abnormality in remission,False,general,contraindication
C92.62,1 Acute myeloid leukemia with 11q23-abnormality in relapse,Acute myeloid leukemia with 11q23-abnormality in relapse,False,general,contraindication
C92.9,"0 Myeloid leukemia, unspecified","Myeloid leukemia, unspecified",False,general,contraindication
C92.90,"1 Myeloid leukemia, unspecified, not having achieved remissi","on Myeloid leukemia, unspecified, not having achieved remission",False,general,contraindication
C92.91,"1 Myeloid leukemia, unspecified in remission","Myeloid leukemia, unspecified in remission",False,general,contraindication
C92.92,"1 Myeloid leukemia, unspecified in relapse","Myeloid leukemia, unspecified in relapse",False,general,contraindication
C92.A,0 Acute myeloid leukemia with multilineage dysplasia,Acute myeloid leukemia with multilineage dysplasia,False,general,contraindication
C92.A0,"1 Acute myeloid leuk w multilin dysplasia, not achieve remis","Acute myeloid leukemia with multilineage dysplasia, not having achieved remission",False,general,contraindication
C92.A1,"1 Acute myeloid leukemia w multilin dysplasia, in remission","Acute myeloid leukemia with multilineage dysplasia, in remission",False,general,contraindication
C92.A2,"1 Acute myeloid leukemia w multilineage dysplasia, in relaps","e  Acute myeloid leukemia with multilineage dysplasia, in relapse",False,general,contraindication
C92.Z,0 Other myeloid leukemia,Other myeloid leukemia,False,general,contraindication
C92.Z0,1 Other myeloid leukemia not having achieved remission,Other myeloid leukemia not having achieved remission,False,general,contraindication
C92.Z1,"1 Other myeloid leukemia, in remission","Other myeloid leukemia, in remission",False,general,contraindication
C92.Z2,"1 Other myeloid leukemia, in relapse","Other myeloid leukemia, in relapse",False,general,contraindication
C93,0 Monocytic leukemia,Monocytic leukemia,False,general,contraindication
C93.0,0 Acute monoblastic/monocytic leukemia,Acute monoblastic/monocytic leukemia,False,general,contraindication
C93.00,"1 Acute monoblastic/monocytic leukemia, not achieve remissio","n  Acute monoblastic/monocytic leukemia, not having achieved remission",False,general,contraindication
C93.01,"1 Acute monoblastic/monocytic leukemia, in remission","Acute monoblastic/monocytic leukemia, in remission",False,general,contraindication
C93.02,"1 Acute monoblastic/monocytic leukemia, in relapse","Acute monoblastic/monocytic leukemia, in relapse",False,general,contraindication
C93.1,0 Chronic myelomonocytic leukemia,Chronic myelomonocytic leukemia,False,general,contraindication
C93.10,1 Chronic myelomonocytic leukemia not achieve remission,Chronic myelomonocytic leukemia not having achieved remission,False,general,contraindication
C93.11,"1 Chronic myelomonocytic leukemia, in remission","Chronic myelomonocytic leukemia, in remission",False,general,contraindication
