code,short_description,long_description,is_billable,organ_system,criteria_type
F19.929,"1 Oth psychoactive substance use, unsp with intoxication, un","sp Other psychoactive substance use, unspecified with intoxication, unspecified",False,general,contraindication
F19.93,"0 Other psychoactive substance use, unsp with withdrawal","Other psychoactive substance use, unspecified with withdrawal",False,general,contraindication
F19.930,"1 Oth psychoactive substance use, unsp w withdrawal, uncomp","Other psychoactive substance use, unspecified with withdrawal, uncomplicated",False,general,contraindication
F19.931,"1 Oth psychoactive substance use, unsp w withdrawal delirium","Other psychoactive substance use, unspecified with withdrawal delirium",False,general,contraindication
F19.932,"1 Oth psychoactv sub use, unsp w w/drawal w perceptl disturb","Other psychoactive substance use, unspecified with withdrawal with perceptual disturbance",False,general,contraindication
F19.939,"1 Other psychoactive substance use, unsp with withdrawal, un","sp Other psychoactive substance use, unspecified with withdrawal, unspecified",False,general,contraindication
F19.94,"1 Oth psychoactive substance use, unsp w mood disorder","Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder",False,general,contraindication
F19.95,"0 Oth psychoactive substance use, unsp w psychotic disorder","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder",False,general,contraindication
F19.950,"1 Oth psychoactv sub use, unsp w psych disorder w delusions","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with delusions",False,general,contraindication
F19.951,"1 Oth psychoactv sub use, unsp w psych disorder w hallucin","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with hallucinations",False,general,contraindication
F19.959,"1 Oth psychoactv substance use, unsp w psych disorder, unsp","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder, unspecified",False,general,contraindication
F19.96,"1 Oth psychoactv sub use, unsp w persist amnestic disorder","Other psychoactive substance use, unspecified with psychoactive substance-induced persisting amnestic disorder",False,general,contraindication
F19.97,"1 Oth psychoactive substance use, unsp w persisting dementia","Other psychoactive substance use, unspecified with psychoactive substance-induced persisting dementia",False,general,contraindication
F19.98,"0 Oth psychoactive substance use, unsp w oth disorders","Other psychoactive substance use, unspecified with other psychoactive substance-induced disorders",False,general,contraindication
F19.980,"1 Oth psychoactive substance use, unsp w anxiety disorder","Other psychoactive substance use, unspecified with psychoactive substance-induced anxiety disorder",False,general,contraindication
F19.981,"1 Oth psychoactive substance use, unsp w sexual dysfunction","Other psychoactive substance use, unspecified with psychoactive substance-induced sexual dysfunction",False,general,contraindication
F19.982,"1 Oth psychoactive substance use, unsp w sleep disorder","Other psychoactive substance use, unspecified with psychoactive substance-induced sleep disorder",False,general,contraindication
F19.988,"1 Oth psychoactive substance use, unsp w oth disorder","Other psychoactive substance use, unspecified with other psychoactive substance-induced disorder",False,general,contraindication
F19.99,"1 Oth psychoactive substance use, unsp w unsp disorder","Other psychoactive substance use, unspecified with unspecified psychoactive substance-induced disorder",False,general,contraindication
F20,0 Schizophrenia,Schizophrenia,False,general,contraindication
F20.0,1 Paranoid schizophrenia,Paranoid schizophrenia,False,general,contraindication
F20.1,1 Disorganized schizophrenia,Disorganized schizophrenia,False,general,contraindication
F20.2,1 Catatonic schizophrenia,Catatonic schizophrenia,False,general,contraindication
F20.3,1 Undifferentiated schizophrenia,Undifferentiated schizophrenia,False,general,contraindication
F20.5,1 Residual schizophrenia,Residual schizophrenia,False,general,contraindication
F20.8,0 Other schizophrenia,Other schizophrenia,False,general,contraindication
F20.81,1 Schizophreniform disorder,Schizophreniform disorder,False,general,contraindication
F20.89,1 Other schizophrenia,Other schizophrenia,False,general,contraindication
F20.9,"1 Schizophrenia, unspecified","Schizophrenia, unspecified",False,general,contraindication
F21,1 Schizotypal disorder,Schizotypal disorder,False,general,contraindication
F22,1 Delusional disorders,Delusional disorders,False,general,contraindication
F23,1 Brief psychotic disorder,Brief psychotic disorder,False,general,contraindication
F24,1 Shared psychotic disorder,Shared psychotic disorder,False,general,contraindication
F25,0 Schizoaffective disorders,Schizoaffective disorders,False,general,contraindication
F25.0,"1 Schizoaffective disorder, bipolar type","Schizoaffective disorder, bipolar type",False,general,contraindication
F25.1,"1 Schizoaffective disorder, depressive type","Schizoaffective disorder, depressive type",False,general,contraindication
F25.8,1 Other schizoaffective disorders,Other schizoaffective disorders,False,general,contraindication
F25.9,"1 Schizoaffective disorder, unspecified","Schizoaffective disorder, unspecified",False,general,contraindication
F28,1 Oth psych disorder not due to a sub or known physiol cond,Other psychotic disorder not due to a substance or known physiological condition,False,general,contraindication
F29,1 Unsp psychosis not due to a substance or known physiol con,d  Unspecified psychosis not due to a substance or known physiological condition,False,general,contraindication
I25,0 Chronic ischemic heart disease,Chronic ischemic heart disease,False,heart,qualifying_diagnosis
I25.1,0 Atherosclerotic heart disease of native coronary artery,Atherosclerotic heart disease of native coronary artery,False,heart,qualifying_diagnosis
I25.10,1 Athscl heart disease of native coronary artery w/o ang pct,rs Atherosclerotic heart disease of native coronary artery without angina pectoris,False,heart,qualifying_diagnosis
I25.11,0 Athscl heart disease of native coronary artery w ang pctrs,Atherosclerotic heart disease of native coronary artery with angina pectoris,False,heart,qualifying_diagnosis
I25.110,1 Athscl heart disease of native cor art w unstable ang pctr,s  Atherosclerotic heart disease of native coronary artery with unstable angina pectoris,False,heart,qualifying_diagnosis
I25.111,1 Athscl heart disease of native cor art w ang pctrs w spasm,Atherosclerotic heart disease of native coronary artery with angina pectoris with documented spasm,False,heart,qualifying_diagnosis
I25.112,1 Athscl heart dis of native cor art with refract ang pctrs,Atherosclerotic heart disease of native coronary artery with refractory angina pectoris,False,heart,qualifying_diagnosis
I25.118,1 Athscl heart disease of native cor art w oth ang pctrs,Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris,False,heart,qualifying_diagnosis
I25.119,1 Athscl heart disease of native cor art w unsp ang pctrs,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris,False,heart,qualifying_diagnosis
I25.2,1 Old myocardial infarction,Old myocardial infarction,False,heart,qualifying_diagnosis
I25.3,1 Aneurysm of heart,Aneurysm of heart,False,heart,qualifying_diagnosis
I25.4,0 Coronary artery aneurysm and dissection,Coronary artery aneurysm and dissection,False,heart,qualifying_diagnosis
I25.41,1 Coronary artery aneurysm,Coronary artery aneurysm,False,heart,qualifying_diagnosis
I25.42,1 Coronary artery dissection,Coronary artery dissection,False,heart,qualifying_diagnosis
I25.5,1 Ischemic cardiomyopathy,Ischemic cardiomyopathy,False,heart,qualifying_diagnosis
I25.6,1 Silent myocardial ischemia,Silent myocardial ischemia,False,heart,qualifying_diagnosis
I25.7,0 Athscl CABG and cor art of transplanted heart w ang pctrs,Atherosclerosis of coronary artery bypass graft(s) and coronary artery of transplanted heart with angina pectoris,False,heart,qualifying_diagnosis
I25.70,"0 Atherosclerosis of CABG, unsp, w angina pectoris","Atherosclerosis of coronary artery bypass graft(s), unspecified, with angina pectoris",False,heart,qualifying_diagnosis
I25.700,"1 Atherosclerosis of CABG, unsp, w unstable angina pectoris","Atherosclerosis of coronary artery bypass graft(s), unspecified, with unstable angina pectoris",False,heart,qualifying_diagnosis
I25.701,"1 Athscl CABG, unsp, w angina pectoris w documented spasm","Atherosclerosis of coronary artery bypass graft(s), unspecified, with angina pectoris with documented spasm",False,heart,qualifying_diagnosis
I25.702,"1 Athscl CABG, unspecified, with refractory angina pectoris","Atherosclerosis of coronary artery bypass graft(s), unspecified, with refractory angina pectoris",False,heart,qualifying_diagnosis
I25.708,"1 Atherosclerosis of CABG, unsp, w oth angina pectoris","Atherosclerosis of coronary artery bypass graft(s), unspecified, with other forms of angina pectoris",False,heart,qualifying_diagnosis
I25.709,"1 Atherosclerosis of CABG, unsp, w unsp angina pectoris","Atherosclerosis of coronary artery bypass graft(s), unspecified, with unspecified angina pectoris",False,heart,qualifying_diagnosis
I25.71,0 Atherosclerosis of autologous vein CABG w angina pectoris,Atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris,False,heart,qualifying_diagnosis
I25.710,1 Athscl autologous vein CABG w unstable angina pectoris,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris,False,heart,qualifying_diagnosis
I25.711,1 Athscl autologous vein CABG w ang pctrs w documented spasm,Atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris with documented spasm,False,heart,qualifying_diagnosis
I25.712,1 Athscl autologous vein CABG with refractory angina pectori,s  Atherosclerosis of autologous vein coronary artery bypass graft(s) with refractory angina pectoris,False,heart,qualifying_diagnosis
I25.718,1 Athscl autologous vein CABG w oth angina pectoris,Atherosclerosis of autologous vein coronary artery bypass graft(s) with other forms of angina pectoris,False,heart,qualifying_diagnosis
I25.719,1 Athscl autologous vein CABG w unsp angina pectoris,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unspecified angina pectoris,False,heart,qualifying_diagnosis
I25.72,0 Atherosclerosis of autologous artery CABG w angina pectori,s  Atherosclerosis of autologous artery coronary artery bypass graft(s) with angina pectoris,False,heart,qualifying_diagnosis
I25.720,1 Athscl autologous artery CABG w unstable angina pectoris,Atherosclerosis of autologous artery coronary artery bypass graft(s) with unstable angina pectoris,False,heart,qualifying_diagnosis
I25.721,1 Athscl autologous artery CABG w ang pctrs w documented spa,sm Atherosclerosis of autologous artery coronary artery bypass graft(s) with angina pectoris with documented spasm,False,heart,qualifying_diagnosis
I25.722,1 Athscl autologous artery CABG with refractory ang pctrs,Atherosclerosis of autologous artery coronary artery bypass graft(s) with refractory angina pectoris,False,heart,qualifying_diagnosis
I25.728,1 Athscl autologous artery CABG w oth angina pectoris,Atherosclerosis of autologous artery coronary artery bypass graft(s) with other forms of angina pectoris,False,heart,qualifying_diagnosis
I25.729,1 Athscl autologous artery CABG w unsp angina pectoris,Atherosclerosis of autologous artery coronary artery bypass graft(s) with unspecified angina pectoris,False,heart,qualifying_diagnosis
I25.73,0 Athscl nonautologous biological CABG w angina pectoris,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with angina pectoris,False,heart,qualifying_diagnosis
I25.730,1 Athscl nonautologous biological CABG w unstable ang pctrs,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unstable angina pectoris,False,heart,qualifying_diagnosis
I25.731,1 Athscl nonaut biological CABG w ang pctrs w documented spa,sm Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with angina pectoris with documented spasm,False,heart,qualifying_diagnosis
I25.732,1 Athscl nonaut biological CABG with refractory ang pctrs,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with refractory angina pectoris,False,heart,qualifying_diagnosis
I25.738,1 Athscl nonautologous biological CABG w oth angina pectoris,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with other forms of angina pectoris,False,heart,qualifying_diagnosis
I25.739,1 Athscl nonautologous biological CABG w unsp angina pectori,s  Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unspecified angina pectoris,False,heart,qualifying_diagnosis
I25.75,0 Athscl native cor art of transplanted heart w ang pctrs,Atherosclerosis of native coronary artery of transplanted heart with angina pectoris,False,heart,qualifying_diagnosis
I25.750,1 Athscl native cor art of txplt heart w unstable angina,Atherosclerosis of native coronary artery of transplanted heart with unstable angina,False,heart,qualifying_diagnosis
I25.751,1 Athscl native cor art of txplt heart w ang pctrs w spasm,Atherosclerosis of native coronary artery of transplanted heart with angina pectoris with documented spasm,False,heart,qualifying_diagnosis
I25.752,1 Athscl native cor art of txplt heart with refract ang pctr,s  Atherosclerosis of native coronary artery of transplanted heart with refractory angina pectoris,False,heart,qualifying_diagnosis
I25.758,1 Athscl native cor art of transplanted heart w oth ang pctr,s  Atherosclerosis of native coronary artery of transplanted heart with other forms of angina pectoris,False,heart,qualifying_diagnosis
I25.759,1 Athscl native cor art of transplanted heart w unsp ang pct,rs Atherosclerosis of native coronary artery of transplanted heart with unspecified angina pectoris,False,heart,qualifying_diagnosis
I25.76,0 Athscl bypass of cor art of transplanted heart w ang pctrs,Atherosclerosis of bypass graft of coronary artery of transplanted heart with angina pectoris,False,heart,qualifying_diagnosis
I25.760,1 Athscl bypass of cor art of txplt heart w unstable angina,Atherosclerosis of bypass graft of coronary artery of transplanted heart with unstable angina,False,heart,qualifying_diagnosis
I25.761,1 Athscl bypass of cor art of txplt heart w ang pctrs w spas,m  Atherosclerosis of bypass graft of coronary artery of transplanted heart with angina pectoris with documented spasm,False,heart,qualifying_diagnosis
I25.762,1 Athscl bypass of cor art of txplt hrt with refract ang pct,rs Atherosclerosis of bypass graft of coronary artery of transplanted heart with refractory angina pectoris,False,heart,qualifying_diagnosis
I25.768,1 Athscl bypass of cor art of txplt heart w oth ang pctrs,Atherosclerosis of bypass graft of coronary artery of transplanted heart with other forms of angina pectoris,False,heart,qualifying_diagnosis
I25.769,1 Athscl bypass of cor art of txplt heart w unsp ang pctrs,Atherosclerosis of bypass graft of coronary artery of transplanted heart with unspecified angina pectoris,False,heart,qualifying_diagnosis
I25.79,0 Atherosclerosis of CABG w angina pectoris,Atherosclerosis of other coronary artery bypass graft(s) with angina pectoris,False,heart,qualifying_diagnosis
I25.790,1 Atherosclerosis of CABG w unstable angina pectoris,Atherosclerosis of other coronary artery bypass graft(s) with unstable angina pectoris,False,heart,qualifying_diagnosis
I25.791,1 Atherosclerosis of CABG w angina pectoris w documented spa,sm Atherosclerosis of other coronary artery bypass graft(s) with angina pectoris with documented spasm,False,heart,qualifying_diagnosis
I25.792,1 Athscl other CABG with refractory angina pectoris,Atherosclerosis of other coronary artery bypass graft(s) with refractory angina pectoris,False,heart,qualifying_diagnosis
I25.798,1 Atherosclerosis of CABG w oth angina pectoris,Atherosclerosis of other coronary artery bypass graft(s) with other forms of angina pectoris,False,heart,qualifying_diagnosis
I25.799,1 Atherosclerosis of CABG w unsp angina pectoris,Atherosclerosis of other coronary artery bypass graft(s) with unspecified angina pectoris,False,heart,qualifying_diagnosis
I25.8,0 Other forms of chronic ischemic heart disease,Other forms of chronic ischemic heart disease,False,heart,qualifying_diagnosis
I25.81,0 Atherosclerosis of oth coronary vessels w/o angina pectori,s  Atherosclerosis of other coronary vessels without angina pectoris,False,heart,qualifying_diagnosis
I25.810,1 Atherosclerosis of CABG w/o angina pectoris,Atherosclerosis of coronary artery bypass graft(s) without angina pectoris,False,heart,qualifying_diagnosis
I25.811,1 Athscl native cor art of transplanted heart w/o ang pctrs,Atherosclerosis of native coronary artery of transplanted heart without angina pectoris,False,heart,qualifying_diagnosis
I25.812,1 Athscl bypass of cor art of transplanted heart w/o ang pct,rs Atherosclerosis of bypass graft of coronary artery of transplanted heart without angina pectoris,False,heart,qualifying_diagnosis
I25.82,1 Chronic total occlusion of coronary artery,Chronic total occlusion of coronary artery,False,heart,qualifying_diagnosis
I25.83,1 Coronary atherosclerosis due to lipid rich plaque,Coronary atherosclerosis due to lipid rich plaque,False,heart,qualifying_diagnosis
I25.84,1 Coronary atherosclerosis due to calcified coronary lesion,Coronary atherosclerosis due to calcified coronary lesion,False,heart,qualifying_diagnosis
I25.85,1 Chronic coronary microvascular dysfunction,Chronic coronary microvascular dysfunction,False,heart,qualifying_diagnosis
I25.89,1 Other forms of chronic ischemic heart disease,Other forms of chronic ischemic heart disease,False,heart,qualifying_diagnosis
I25.9,"1 Chronic ischemic heart disease, unspecified","Chronic ischemic heart disease, unspecified",False,heart,qualifying_diagnosis
I42,0 Cardiomyopathy,Cardiomyopathy,False,heart,qualifying_diagnosis
I42.0,1 Dilated cardiomyopathy,Dilated cardiomyopathy,False,heart,qualifying_diagnosis
I42.1,1 Obstructive hypertrophic cardiomyopathy,Obstructive hypertrophic cardiomyopathy,False,heart,qualifying_diagnosis
I42.2,1 Other hypertrophic cardiomyopathy,Other hypertrophic cardiomyopathy,False,heart,qualifying_diagnosis
I42.3,1 Endomyocardial (eosinophilic) disease,Endomyocardial (eosinophilic) disease,False,heart,qualifying_diagnosis
I42.4,1 Endocardial fibroelastosis,Endocardial fibroelastosis,False,heart,qualifying_diagnosis
I42.5,1 Other restrictive cardiomyopathy,Other restrictive cardiomyopathy,False,heart,qualifying_diagnosis
I42.6,1 Alcoholic cardiomyopathy,Alcoholic cardiomyopathy,False,heart,qualifying_diagnosis
I42.7,1 Cardiomyopathy due to drug and external agent,Cardiomyopathy due to drug and external agent,False,heart,qualifying_diagnosis
I42.8,1 Other cardiomyopathies,Other cardiomyopathies,False,heart,qualifying_diagnosis
I42.9,"1 Cardiomyopathy, unspecified","Cardiomyopathy, unspecified",False,heart,qualifying_diagnosis
I50,0 Heart failure,Heart failure,False,heart,qualifying_diagnosis
I50.1,"1 Left ventricular failure, unspecified","Left ventricular failure, unspecified",False,heart,qualifying_diagnosis
I50.2,0 Systolic (congestive) heart failure,Systolic (congestive) heart failure,False,heart,qualifying_diagnosis
I50.20,1 Unspecified systolic (congestive) heart failure,Unspecified systolic (congestive) heart failure,False,heart,qualifying_diagnosis
I50.21,1 Acute systolic (congestive) heart failure,Acute systolic (congestive) heart failure,False,heart,qualifying_diagnosis
I50.22,1 Chronic systolic (congestive) heart failure,Chronic systolic (congestive) heart failure,False,heart,qualifying_diagnosis
I50.23,1 Acute on chronic systolic (congestive) heart failure,Acute on chronic systolic (congestive) heart failure,False,heart,qualifying_diagnosis
I50.3,0 Diastolic (congestive) heart failure,Diastolic (congestive) heart failure,False,heart,qualifying_diagnosis
I50.30,1 Unspecified diastolic (congestive) heart failure,Unspecified diastolic (congestive) heart failure,False,heart,qualifying_diagnosis
I50.31,1 Acute diastolic (congestive) heart failure,Acute diastolic (congestive) heart failure,False,heart,qualifying_diagnosis
I50.32,1 Chronic diastolic (congestive) heart failure,Chronic diastolic (congestive) heart failure,False,heart,qualifying_diagnosis
I50.33,1 Acute on chronic diastolic (congestive) heart failure,Acute on chronic diastolic (congestive) heart failure,False,heart,qualifying_diagnosis
I50.4,0 Combined systolic and diastolic (congestive) hrt fail,Combined systolic (congestive) and diastolic (congestive) heart failure,False,heart,qualifying_diagnosis
I50.40,1 Unsp combined systolic and diastolic (congestive) hrt fail,Unspecified combined systolic (congestive) and diastolic (congestive) heart failure,False,heart,qualifying_diagnosis
I50.41,1 Acute combined systolic and diastolic (congestive) hrt fai,l  Acute combined systolic (congestive) and diastolic (congestive) heart failure,False,heart,qualifying_diagnosis
I50.42,1 Chronic combined systolic and diastolic hrt fail,Chronic combined systolic (congestive) and diastolic (congestive) heart failure,False,heart,qualifying_diagnosis
I50.43,1 Acute on chronic combined systolic and diastolic hrt fail,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,False,heart,qualifying_diagnosis
I50.8,0 Other heart failure,Other heart failure,False,heart,qualifying_diagnosis
I50.81,0 Right heart failure,Right heart failure,False,heart,qualifying_diagnosis
I50.810,"1 Right heart failure, unspecified","Right heart failure, unspecified",False,heart,qualifying_diagnosis
I50.811,1 Acute right heart failure,Acute right heart failure,False,heart,qualifying_diagnosis
I50.812,1 Chronic right heart failure,Chronic right heart failure,False,heart,qualifying_diagnosis
I50.813,1 Acute on chronic right heart failure,Acute on chronic right heart failure,False,heart,qualifying_diagnosis
I50.814,1 Right heart failure due to left heart failure,Right heart failure due to left heart failure,False,heart,qualifying_diagnosis
I50.82,1 Biventricular heart failure,Biventricular heart failure,False,heart,qualifying_diagnosis
I50.83,1 High output heart failure,High output heart failure,False,heart,qualifying_diagnosis
I50.84,1 End stage heart failure,End stage heart failure,False,heart,qualifying_diagnosis
I50.89,1 Other heart failure,Other heart failure,False,heart,qualifying_diagnosis
I50.9,"1 Heart failure, unspecified","Heart failure, unspecified",False,heart,qualifying_diagnosis
J43,0 Emphysema,Emphysema,False,lung,qualifying_diagnosis
J43.0,1 Unilateral pulmonary emphysema [MacLeod's syndrome],Unilateral pulmonary emphysema [MacLeod's syndrome],False,lung,qualifying_diagnosis
J43.1,1 Panlobular emphysema,Panlobular emphysema,False,lung,qualifying_diagnosis
J43.2,1 Centrilobular emphysema,Centrilobular emphysema,False,lung,qualifying_diagnosis
J43.8,1 Other emphysema,Other emphysema,False,lung,qualifying_diagnosis
J43.9,"1 Emphysema, unspecified","Emphysema, unspecified",False,lung,qualifying_diagnosis
J44,0 Other chronic obstructive pulmonary disease,Other chronic obstructive pulmonary disease,False,lung,qualifying_diagnosis
J44.0,1 Chr obstructive pulmon disease with (acute) lower resp inf,ct Chronic obstructive pulmonary disease with (acute) lower respiratory infection,False,lung,qualifying_diagnosis
J44.1,1 Chronic obstructive pulmonary disease w (acute) exacerbati,on Chronic obstructive pulmonary disease with (acute) exacerbation,False,lung,qualifying_diagnosis
J44.8,0 Other specified chronic obstructive pulmonary disease,Other specified chronic obstructive pulmonary disease,False,lung,qualifying_diagnosis
J44.81,1 Bronchiolitis obliterans and bronchiolitis obliterans synd,Bronchiolitis obliterans and bronchiolitis obliterans syndrome,False,lung,qualifying_diagnosis
J44.89,1 Other specified chronic obstructive pulmonary disease,Other specified chronic obstructive pulmonary disease,False,lung,qualifying_diagnosis
J44.9,"1 Chronic obstructive pulmonary disease, unspecified","Chronic obstructive pulmonary disease, unspecified",False,lung,qualifying_diagnosis
J84,0 Other interstitial pulmonary diseases,Other interstitial pulmonary diseases,False,lung,qualifying_diagnosis
J84.0,0 Alveolar and parieto-alveolar conditions,Alveolar and parieto-alveolar conditions,False,lung,qualifying_diagnosis
J84.01,1 Alveolar proteinosis,Alveolar proteinosis,False,lung,qualifying_diagnosis
J84.02,1 Pulmonary alveolar microlithiasis,Pulmonary alveolar microlithiasis,False,lung,qualifying_diagnosis
J84.03,1 Idiopathic pulmonary hemosiderosis,Idiopathic pulmonary hemosiderosis,False,lung,qualifying_diagnosis
J84.09,1 Other alveolar and parieto-alveolar conditions,Other alveolar and parieto-alveolar conditions,False,lung,qualifying_diagnosis
J84.1,0 Other interstitial pulmonary diseases with fibrosis,Other interstitial pulmonary diseases with fibrosis,False,lung,qualifying_diagnosis
J84.10,"1 Pulmonary fibrosis, unspecified","Pulmonary fibrosis, unspecified",False,lung,qualifying_diagnosis
J84.11,0 Idiopathic interstitial pneumonia,Idiopathic interstitial pneumonia,False,lung,qualifying_diagnosis
J84.111,"1 Idiopathic interstitial pneumonia, not otherwise specified","Idiopathic interstitial pneumonia, not otherwise specified",False,lung,qualifying_diagnosis
J84.112,1 Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,False,lung,qualifying_diagnosis
J84.113,1 Idiopathic non-specific interstitial pneumonitis,Idiopathic non-specific interstitial pneumonitis,False,lung,qualifying_diagnosis
J84.114,1 Acute interstitial pneumonitis,Acute interstitial pneumonitis,False,lung,qualifying_diagnosis
J84.115,1 Respiratory bronchiolitis interstitial lung disease,Respiratory bronchiolitis interstitial lung disease,False,lung,qualifying_diagnosis
J84.116,1 Cryptogenic organizing pneumonia,Cryptogenic organizing pneumonia,False,lung,qualifying_diagnosis
J84.117,1 Desquamative interstitial pneumonia,Desquamative interstitial pneumonia,False,lung,qualifying_diagnosis
J84.17,0 Oth interstit pulmon dis w fibrosis in dis classd elswhr,Other interstitial pulmonary diseases with fibrosis in diseases classified elsewhere,False,lung,qualifying_diagnosis
J84.170,1 Interstit lung dis w progr fibrotic phenotype dis classd e,Interstitial lung disease with progressive fibrotic phenotype in diseases classified elsewhere,False,lung,qualifying_diagnosis
J84.178,1 Oth interstit pulmon dis with fibrosis in dis classd elswh,r  Other interstitial pulmonary diseases with fibrosis in diseases classified elsewhere,False,lung,qualifying_diagnosis
J84.2,1 Lymphoid interstitial pneumonia,Lymphoid interstitial pneumonia,False,lung,qualifying_diagnosis
J84.8,0 Other specified interstitial pulmonary diseases,Other specified interstitial pulmonary diseases,False,lung,qualifying_diagnosis
J84.81,1 Lymphangioleiomyomatosis,Lymphangioleiomyomatosis,False,lung,qualifying_diagnosis
J84.82,1 Adult pulmonary Langerhans cell histiocytosis,Adult pulmonary Langerhans cell histiocytosis,False,lung,qualifying_diagnosis
J84.83,1 Surfactant mutations of the lung,Surfactant mutations of the lung,False,lung,qualifying_diagnosis
J84.84,0 Other interstitial lung diseases of childhood,Other interstitial lung diseases of childhood,False,lung,qualifying_diagnosis
J84.841,1 Neuroendocrine cell hyperplasia of infancy,Neuroendocrine cell hyperplasia of infancy,False,lung,qualifying_diagnosis
J84.842,1 Pulmonary interstitial glycogenosis,Pulmonary interstitial glycogenosis,False,lung,qualifying_diagnosis
J84.843,1 Alveolar capillary dysplasia with vein misalignment,Alveolar capillary dysplasia with vein misalignment,False,lung,qualifying_diagnosis
J84.848,1 Other interstitial lung diseases of childhood,Other interstitial lung diseases of childhood,False,lung,qualifying_diagnosis
J84.89,1 Other specified interstitial pulmonary diseases,Other specified interstitial pulmonary diseases,False,lung,qualifying_diagnosis
J84.9,"1 Interstitial pulmonary disease, unspecified","Interstitial pulmonary disease, unspecified",False,lung,qualifying_diagnosis
J96.1,0 Chronic respiratory failure,Chronic respiratory failure,False,lung,qualifying_diagnosis
J96.10,"1 Chronic respiratory failure, unsp w hypoxia or hypercapnia","Chronic respiratory failure, unspecified whether with hypoxia or hypercapnia",False,lung,qualifying_diagnosis
J96.11,1 Chronic respiratory failure with hypoxia,Chronic respiratory failure with hypoxia,False,lung,qualifying_diagnosis
J96.12,1 Chronic respiratory failure with hypercapnia,Chronic respiratory failure with hypercapnia,False,lung,qualifying_diagnosis
K70.4,0 Alcoholic hepatic failure,Alcoholic hepatic failure,False,liver,qualifying_diagnosis
K70.40,1 Alcoholic hepatic failure without coma,Alcoholic hepatic failure without coma,False,liver,qualifying_diagnosis
K70.41,1 Alcoholic hepatic failure with coma,Alcoholic hepatic failure with coma,False,liver,qualifying_diagnosis
K72,"0 Hepatic failure, not elsewhere classified","Hepatic failure, not elsewhere classified",False,liver,qualifying_diagnosis
K72.0,0 Acute and subacute hepatic failure,Acute and subacute hepatic failure,False,liver,qualifying_diagnosis
K72.00,1 Acute and subacute hepatic failure without coma,Acute and subacute hepatic failure without coma,False,liver,qualifying_diagnosis
K72.01,1 Acute and subacute hepatic failure with coma,Acute and subacute hepatic failure with coma,False,liver,qualifying_diagnosis
K72.1,0 Chronic hepatic failure,Chronic hepatic failure,False,liver,qualifying_diagnosis
K72.10,1 Chronic hepatic failure without coma,Chronic hepatic failure without coma,False,liver,qualifying_diagnosis
K72.11,1 Chronic hepatic failure with coma,Chronic hepatic failure with coma,False,liver,qualifying_diagnosis
K72.9,"0 Hepatic failure, unspecified","Hepatic failure, unspecified",False,liver,qualifying_diagnosis
K72.90,"1 Hepatic failure, unspecified without coma","Hepatic failure, unspecified without coma",False,liver,qualifying_diagnosis
K72.91,"1 Hepatic failure, unspecified with coma","Hepatic failure, unspecified with coma",False,liver,qualifying_diagnosis
K74,0 Fibrosis and cirrhosis of liver,Fibrosis and cirrhosis of liver,False,liver,qualifying_diagnosis
K74.0,0 Hepatic fibrosis,Hepatic fibrosis,False,liver,qualifying_diagnosis
K74.00,"1 Hepatic fibrosis, unspecified","Hepatic fibrosis, unspecified",False,liver,qualifying_diagnosis
K74.01,"1 Hepatic fibrosis, early fibrosis","Hepatic fibrosis, early fibrosis",False,liver,qualifying_diagnosis
K74.02,"1 Hepatic fibrosis, advanced fibrosis","Hepatic fibrosis, advanced fibrosis",False,liver,qualifying_diagnosis
K74.1,1 Hepatic sclerosis,Hepatic sclerosis,False,liver,qualifying_diagnosis
K74.2,1 Hepatic fibrosis with hepatic sclerosis,Hepatic fibrosis with hepatic sclerosis,False,liver,qualifying_diagnosis
K74.3,1 Primary biliary cirrhosis,Primary biliary cirrhosis,False,liver,qualifying_diagnosis
K74.4,1 Secondary biliary cirrhosis,Secondary biliary cirrhosis,False,liver,qualifying_diagnosis
K74.5,"1 Biliary cirrhosis, unspecified","Biliary cirrhosis, unspecified",False,liver,qualifying_diagnosis
K74.6,0 Other and unspecified cirrhosis of liver,Other and unspecified cirrhosis of liver,False,liver,qualifying_diagnosis
